SKU,Stock,Regular price,UPC
B07JH2JVQT,10,58.39,850000032026
B0019LZYW8,10,48.86,737765777730
B08K8DGJPM,0,0,
B08K87D853,0,0,
B01NAU762Z,0,0,
B002N5T3SK,10,53.33,19079401519
B002N5J858,10,41.5,19079401502
B0023UPPL4,5,80.43,19079401533
B007S3N5RC,10,46.95,19079441515
B007S3LC0E,10,74.45,19079701534
B007S3NEN2,10,38.3,19079701503
B01M01183G,10,51.5,19079434609
B01N4X7MTG,5,83.89,19079450944
B07P132SNL,0,0,810963032068
B07Z4SWCHT,10,51.99,
B094C89S56,10,35.98,760655690406
B08S7HWX1H,10,63.19,734658091614
B00K7FKVWK,5,95.96,705016500444
B07BMTSSTB,0,0,
B01CWL4GY0,10,30.39,736950430900
B07ZHB4BBY,10,29.59,674862314898
B09L6ZLP85,10,30.39,781871034171
B07QK43L8B,10,51.59,
B00VNHXTVG,10,51.99,840855112073
B00KU14YJM,0,64.99,840855102159
B00KU14TRY,10,47.99,840855102142
B08TTYY62N,10,42.39,
B091TCBB8P,10,31.19,769891309769
B091T7H6W4,10,51.19,769891309752
B000JCCRGY,0,17.88,641330015304
B00ELHTC1G,10,51.96,641330065309
B07CVG9BBJ,0,0,
B0161PG4UC,10,75.96,96481914646
B07HNT8SQL,0,67.25,738678993880
B00L9G9O38,0,127.99,701003154355
B01NACQJ94,5,104,850666006775
B00JFG6YOG,10,71.96,717449049285
B084HRSSWB,0,0,
B004JMZGL8,10,59.96,86279031396
B08G4Z26GB,5,103.14,
B0000A1ZN0,10,43.96,14445104223
B000PYF71I,10,55.96,86279020031
B0937921SW,0,159.85,
B0783RS8RG,10,48.74,86279129116
B08G528HP6,5,93.46,
B079C4B83B,10,58.13,86279140777
B0B6V4TRTT,5,135.9,
B00ALDPXE4,5,157.6,86279172389
B087BBMKFW,10,19.96,86279175229
B00452NT2U,10,30.75,86279032706
B07Q1S7GGJ,0,154.99,817915025710
B07BF91M9L,0,72.99,817915022801
B00I5WSO8A,10,52.54,854961005075
B00BOASJ1M,10,52.13,662425058518
B0943MVY1K,0,0,
B016LLLXJS,0,69.95,852659947454
B004Q4DRJW,5,139.19,56456363
B00BWIWYBW,5,119.99,723794912938
B07J9QRVDM,0,79.99,657631398084
B007CMEVD6,10,72,611267337589
B08JB6GQH2,0,0,
B08PR3XD36,0,0,
